"id","Callsign","TG-id"
"id","callsign","tgid"
"26439","EDER-LAHN","TG26439"
"26444","INSELFREUNDE","TG26444"
"26446","MULTIBRIDGE-OWL","TG26446"
"26447","OWL-TALK","TG26447"
"26448","TRUCKER / BF3-4 DRIVER","TG26448"
"26538","NORDHARZ","TG26538"
"26577","GERMANY-DX","TG26577"
"26965","DL-HILDESHEIM GRUPPE","TG26965"
"262810","PEGASUS PROJEKT","TG262810"
"262841","REGION-INGOLSTADT","TG262841"
"262872","AMBERG","TG262872"
"263112","HIORG-TALK EMCOMM","TG263112"
"263113","UNWETTER NETZ","TG263113"
"263301","BAHNFREUNDE","TG2623301"
"263333","TWITTERRUNDE","TG263333"
"263815","FUNKERPORTAL","TG263185"
"263907","JOTA-DL","TG263907"
"265112","NOTFUNK DEUTSCHLAND","TG265112"
"268117","EMERGENCIA 117 TG268117","TG268117"
"900999","D-APRS","TG900999"
"1234567","INVALID TG TG1234567","TG1234567"
"2651388","USER-TG BROKER88","TG2651388"
"2651717","USER-TG 13LU017","TG2651717"
"2651904","USER-TG DR3HBF","TG2651904"
"2654265","FURCOM2 USER-TG HYPER","TG2654265"
"2651990","WILHELMSHAVEN USER-TG WH3CBA","TG2651990"
"2653050","Cato B. USER-TG 13HN308","TG2653050"
"2655001","RELAIS HAMBURG","TG2655001"
"2655002","CROSSLINK FRN-MITTELSACHSEN","TG2655002"
"2655003","RELAIS NIEHEIM","TG2655003"
"2655005","RELAIS BAD LAUSICK","TG2655005"
"2655006","RELAIS BAD LAUSICK","TG2655006"
"2655011","CROSSLINK FRN-MITTELSACHSEN","TG2655011"
"2655013","ZELLO FREEDMR DIGITAL","TG2655013"
"2655016","RELAIS BORGHOLZHAUSEN","TG2655016"
"2655017","CROSSLINK KISSINGER HÜTTE","TG2655017"
"2655018","RELAIS KISSINGER HÜTTE","TG2655018"
"2655130","RELAIS FREENET FÜRSTENWALDE","TG2655130"
"2655140","RELAIS PMR446 FÜRSTENWALDE","TG2655140"
"2654103","KYFFHÄUSERKREIS USER-TG BEBRA3","TG2654103"
"2653150","USER-TG DW1PBJ","TG2653150"
"2654790","USER-TG U96","TG2654790"
"2654565","USER-TG AJ1","TG2654565"
"2654991","EICHSFELDKREIS USER-TG FUNKLEI","TG2654991"
"2621218","USER-TG DB0JSF","TG2621218"
"5059742","XRF740 C TG5059742","TG5059742"
"2654112","USER-TG Teddybaer","TG2654112"
"66666","CROSSLINK FRN-MITTELSACHSEN","TG66666"
